sort_index,relative_file_path,original_file_url
80,daa/quydinh_huongdan/qui-che-qui-dinh-qui-trinh/05-quy-dinh-dao-tao-ngoai-ngu-doi-voi-he-d-7673d143/141-qd-dhcntt16-3-2018quy_dinh_dao_tao_ngoai_ngu_doi_voi_he_dh_chinh_quy_cua_truong-ed160e55.pdf,https://daa.uit.edu.vn/sites/daa/files/202310/141-qd-dhcntt16-3-2018quy_dinh_dao_tao_ngoai_ngu_doi_voi_he_dh_chinh_quy_cua_truong_dhcntt_ap_dung_tu_khoa_2017_0.pdf
81,daa/quydinh_huongdan/qui-che-qui-dinh-qui-trinh/05-quy-dinh-dao-tao-ngoai-ngu-doi-voi-he-dai-hoc-chinh-quy-cua-truong-dhcntt/141-qd-dhcntt16-3-2018quy_dinh_dao_tao_ngoai_ngu_doi_voi_he_dh_chinh_quy_cua_truong_dhcntt_ap_dung_tu_khoa_2017_0.pdf,https://daa.uit.edu.vn/sites/daa/files/202310/141-qd-dhcntt16-3-2018quy_dinh_dao_tao_ngoai_ngu_doi_voi_he_dh_chinh_quy_cua_truong_dhcntt_ap_dung_tu_khoa_2017_0.pdf
82,daa/quydinh_huongdan/qui-che-qui-dinh-qui-trinh/10-quyet-dinh-ve-viec-ban-hanh-quy-trinh-d-a07fd02e/185-qd-dhcntt_30-3-2018_quyet_dinh_ve_viec_ban_hanh_quy_trinh_danh_gia_cap_nhat_ctd-270fa22e.pdf,https://daa.uit.edu.vn/sites/daa/files/202309/185-qd-dhcntt_30-3-2018_quyet_dinh_ve_viec_ban_hanh_quy_trinh_danh_gia_cap_nhat_ctdt_trinh_do_dhsdh.pdf
83,daa/quydinh_huongdan/qui-che-qui-dinh-qui-trinh/10-quyet-dinh-ve-viec-ban-hanh-quy-trinh-danh-gia-cap-nhat-ctdt-trinh-do-dhsdh/185-qd-dhcntt_30-3-2018_quyet_dinh_ve_viec_ban_hanh_quy_trinh_danh_gia_cap_nhat_ctdt_trinh_do_dhsdh.pdf,https://daa.uit.edu.vn/sites/daa/files/202309/185-qd-dhcntt_30-3-2018_quyet_dinh_ve_viec_ban_hanh_quy_trinh_danh_gia_cap_nhat_ctdt_trinh_do_dhsdh.pdf
84,daa/chuongtrinh_daotao/dean/6-khoa-hoc-du-lieu-cong-thong-tin-dao-tao/pdf/540-qd-dhcntt_5-9-2018_scan-6d8b546f.pdf,https://daa.uit.edu.vn/sites/daa/files/202412/540-qd-dhcntt_5-9-2018_scan.pdf
85,daa/chuongtrinh_daotao/he-chinhquy/dean/6-khoa-hoc-du-lieu-cong-thong-tin-ao-tao/pdf/540-qd-dhcntt_5-9-2018_scan.pdf,https://daa.uit.edu.vn/sites/daa/files/202412/540-qd-dhcntt_5-9-2018_scan.pdf
86,daa/chuongtrinh_daotao/dean/6-khoa-hoc-du-lieu-cong-thong-tin-dao-tao/pdf/de_an_mo_nganh_khoa_hoc_du_lieu-aa90e343.pdf,https://daa.uit.edu.vn/sites/daa/files/202412/de_an_mo_nganh_khoa_hoc_du_lieu.pdf
87,daa/chuongtrinh_daotao/he-chinhquy/dean/6-khoa-hoc-du-lieu-cong-thong-tin-ao-tao/pdf/de_an_mo_nganh_khoa_hoc_du_lieu.pdf,https://daa.uit.edu.vn/sites/daa/files/202412/de_an_mo_nganh_khoa_hoc_du_lieu.pdf
88,daa/chuongtrinh_daotao/he-chinhquy/danh-muc-mon-hoc/pdf/53_qd_dhcntt_19_2_2019scan-8b45fc45.pdf,https://daa.uit.edu.vn/sites/daa/files/uploads/53_qd_dhcntt_19_2_2019scan.pdf
89,daa/quydinh_huongdan/qui-che-qui-dinh-qui-trinh/02-quyet-dinh-ve-viec-ban-hanh-qui-dinh-ve-8c8ae222/53_qd_dhcntt_19_2_2019_quy_che_cong_tac_giao_trinh-b5954a88.pdf,https://daa.uit.edu.vn/sites/daa/files/202310/53_qd_dhcntt_19_2_2019_quy_che_cong_tac_giao_trinh.pdf
