"issue","original_path","quarantined_path","detail"
"duplicate_source_html","daa/chuongtrinh_daotao/he-chinhquy/khoa_2013/congnghethongtin/html/daa-uit-edu-vn_content_cu-nhan-nganh-c-cc73055b_page-1_64a5b271.html","_stale_artifacts/20260721T110923Z/daa/chuongtrinh_daotao/he-chinhquy/khoa_2013/congnghethongtin/html/daa-uit-edu-vn_content_cu-nhan-nganh-c-cc73055b_page-1_64a5b271.html",".html"
"duplicate_source_html","daa/chuongtrinh_daotao/he-chinhquy/khoa_2013/congnghethongtin/html/daa-uit-edu-vn_content_cu-nhan-nganh-c-cc73055b_page-2_5900ee2d.html","_stale_artifacts/20260721T110923Z/daa/chuongtrinh_daotao/he-chinhquy/khoa_2013/congnghethongtin/html/daa-uit-edu-vn_content_cu-nhan-nganh-c-cc73055b_page-2_5900ee2d.html",".html"
"duplicate_source_html","daa/chuongtrinh_daotao/he-chinhquy/khoa_2013/congnghethongtin/html/daa.uit.edu.vn_content_cu-nhan-nganh-cong-nghe-thong-tin-ap-dung-tu-khoa-7-2012.html","_stale_artifacts/20260721T110923Z/daa/chuongtrinh_daotao/he-chinhquy/khoa_2013/congnghethongtin/html/daa.uit.edu.vn_content_cu-nhan-nganh-cong-nghe-thong-tin-ap-dung-tu-khoa-7-2012.html",".html"
"duplicate_source_html","daa/chuongtrinh_daotao/he-chinhquy/khoa_2013/congnghethongtin/html/daa.uit.edu.vn_content_cu-nhan-nganh-cong-nghe-thong-tin-ap-dung-tu-khoa-7-2012page=1.html","_stale_artifacts/20260721T110923Z/daa/chuongtrinh_daotao/he-chinhquy/khoa_2013/congnghethongtin/html/daa.uit.edu.vn_content_cu-nhan-nganh-cong-nghe-thong-tin-ap-dung-tu-khoa-7-2012page=1.html",".html"
"duplicate_source_html","daa/chuongtrinh_daotao/he-chinhquy/khoa_2013/congnghethongtin/html/daa.uit.edu.vn_content_cu-nhan-nganh-cong-nghe-thong-tin-ap-dung-tu-khoa-7-2012page=2.html","_stale_artifacts/20260721T110923Z/daa/chuongtrinh_daotao/he-chinhquy/khoa_2013/congnghethongtin/html/daa.uit.edu.vn_content_cu-nhan-nganh-cong-nghe-thong-tin-ap-dung-tu-khoa-7-2012page=2.html",".html"
"duplicate_source_html","daa/chuongtrinh_daotao/he-chinhquy/khoa_2013/hethongthongtin/html/daa-uit-edu-vn_content_ky-su-nganh-he-98f87f55.html","_stale_artifacts/20260721T110923Z/daa/chuongtrinh_daotao/he-chinhquy/khoa_2013/hethongthongtin/html/daa-uit-edu-vn_content_ky-su-nganh-he-98f87f55.html",".html"
"duplicate_source_html","daa/chuongtrinh_daotao/he-chinhquy/khoa_2013/hethongthongtin/html/daa-uit-edu-vn_content_ky-su-nganh-he-98f87f55_page-1_9f3fe2ff.html","_stale_artifacts/20260721T110923Z/daa/chuongtrinh_daotao/he-chinhquy/khoa_2013/hethongthongtin/html/daa-uit-edu-vn_content_ky-su-nganh-he-98f87f55_page-1_9f3fe2ff.html",".html"
"duplicate_source_html","daa/chuongtrinh_daotao/he-chinhquy/khoa_2013/hethongthongtin/html/daa.uit.edu.vn_content_ky-su-nganh-he-thong-thong-tin-ap-dung-tu-khoa-7-2012.html","_stale_artifacts/20260721T110923Z/daa/chuongtrinh_daotao/he-chinhquy/khoa_2013/hethongthongtin/html/daa.uit.edu.vn_content_ky-su-nganh-he-thong-thong-tin-ap-dung-tu-khoa-7-2012.html",".html"
"duplicate_source_html","daa/chuongtrinh_daotao/he-chinhquy/khoa_2013/hethongthongtin/html/daa.uit.edu.vn_content_ky-su-nganh-he-thong-thong-tin-ap-dung-tu-khoa-7-2012page=1.html","_stale_artifacts/20260721T110923Z/daa/chuongtrinh_daotao/he-chinhquy/khoa_2013/hethongthongtin/html/daa.uit.edu.vn_content_ky-su-nganh-he-thong-thong-tin-ap-dung-tu-khoa-7-2012page=1.html",".html"
"duplicate_source_html","daa/chuongtrinh_daotao/he-chinhquy/khoa_2013/hethongthongtin/html/daa.uit.edu.vn_content_ky-su-nganh-he-thong-thong-tin-ap-dung-tu-khoa-7-2012page=2.html","_stale_artifacts/20260721T110923Z/daa/chuongtrinh_daotao/he-chinhquy/khoa_2013/hethongthongtin/html/daa.uit.edu.vn_content_ky-su-nganh-he-thong-thong-tin-ap-dung-tu-khoa-7-2012page=2.html",".html"
"duplicate_source_html","daa/chuongtrinh_daotao/he-chinhquy/khoa_2013/html/daa.uit.edu.vn_chuong-trinh-dao-tao_ctdt-khoa-2013.html","_stale_artifacts/20260721T110923Z/daa/chuongtrinh_daotao/he-chinhquy/khoa_2013/html/daa.uit.edu.vn_chuong-trinh-dao-tao_ctdt-khoa-2013.html",".html"
"duplicate_source_html","daa/chuongtrinh_daotao/he-chinhquy/khoa_2013/khoahocmaytinh/html/daa-uit-edu-vn_content_cu-nhan-nganh-k-22cef523_page-1_6eb0609d.html","_stale_artifacts/20260721T110923Z/daa/chuongtrinh_daotao/he-chinhquy/khoa_2013/khoahocmaytinh/html/daa-uit-edu-vn_content_cu-nhan-nganh-k-22cef523_page-1_6eb0609d.html",".html"
"duplicate_source_html","daa/chuongtrinh_daotao/he-chinhquy/khoa_2013/khoahocmaytinh/html/daa.uit.edu.vn_content_cu-nhan-nganh-khoa-hoc-may-tinh-ap-dung-tu-khoa-7-den-khoa-8.html","_stale_artifacts/20260721T110923Z/daa/chuongtrinh_daotao/he-chinhquy/khoa_2013/khoahocmaytinh/html/daa.uit.edu.vn_content_cu-nhan-nganh-khoa-hoc-may-tinh-ap-dung-tu-khoa-7-den-khoa-8.html",".html"
"duplicate_source_html","daa/chuongtrinh_daotao/he-chinhquy/khoa_2013/khoahocmaytinh/html/daa.uit.edu.vn_content_cu-nhan-nganh-khoa-hoc-may-tinh-ap-dung-tu-khoa-7-den-khoa-8page=1.html","_stale_artifacts/20260721T110923Z/daa/chuongtrinh_daotao/he-chinhquy/khoa_2013/khoahocmaytinh/html/daa.uit.edu.vn_content_cu-nhan-nganh-khoa-hoc-may-tinh-ap-dung-tu-khoa-7-den-khoa-8page=1.html",".html"
"duplicate_source_html","daa/chuongtrinh_daotao/he-chinhquy/khoa_2013/kysunganhtruyenthongvamangmaytinh/html/daa-uit-edu-vn_content_ky-su-nganh-tru-661d8092_page-1_e0cb8896.html","_stale_artifacts/20260721T110923Z/daa/chuongtrinh_daotao/he-chinhquy/khoa_2013/kysunganhtruyenthongvamangmaytinh/html/daa-uit-edu-vn_content_ky-su-nganh-tru-661d8092_page-1_e0cb8896.html",".html"
"duplicate_source_html","daa/chuongtrinh_daotao/he-chinhquy/khoa_2013/kysunganhtruyenthongvamangmaytinh/html/daa.uit.edu.vn_content_ky-su-nganh-truyen-thong-va-mang-may-tinh-ap-dung-tu-khoa-7-den-khoa-8.html","_stale_artifacts/20260721T110923Z/daa/chuongtrinh_daotao/he-chinhquy/khoa_2013/kysunganhtruyenthongvamangmaytinh/html/daa.uit.edu.vn_content_ky-su-nganh-truyen-thong-va-mang-may-tinh-ap-dung-tu-khoa-7-den-khoa-8.html",".html"
"duplicate_source_html","daa/chuongtrinh_daotao/he-chinhquy/khoa_2013/kysunganhtruyenthongvamangmaytinh/html/daa.uit.edu.vn_content_ky-su-nganh-truyen-thong-va-mang-may-tinh-ap-dung-tu-khoa-7-den-khoa-8page=1.html","_stale_artifacts/20260721T110923Z/daa/chuongtrinh_daotao/he-chinhquy/khoa_2013/kysunganhtruyenthongvamangmaytinh/html/daa.uit.edu.vn_content_ky-su-nganh-truyen-thong-va-mang-may-tinh-ap-dung-tu-khoa-7-den-khoa-8page=1.html",".html"
"duplicate_source_html","daa/chuongtrinh_daotao/he-chinhquy/khoa_2013/kythuatmaytinh/html/daa-uit-edu-vn_content_ky-su-nganh-ky-764b25fb.html","_stale_artifacts/20260721T110923Z/daa/chuongtrinh_daotao/he-chinhquy/khoa_2013/kythuatmaytinh/html/daa-uit-edu-vn_content_ky-su-nganh-ky-764b25fb.html",".html"
"duplicate_source_html","daa/chuongtrinh_daotao/he-chinhquy/khoa_2013/kythuatmaytinh/html/daa-uit-edu-vn_content_ky-su-nganh-ky-764b25fb_page-1_5ea7e348.html","_stale_artifacts/20260721T110923Z/daa/chuongtrinh_daotao/he-chinhquy/khoa_2013/kythuatmaytinh/html/daa-uit-edu-vn_content_ky-su-nganh-ky-764b25fb_page-1_5ea7e348.html",".html"
"duplicate_source_html","daa/chuongtrinh_daotao/he-chinhquy/khoa_2013/kythuatmaytinh/html/daa-uit-edu-vn_content_ky-su-nganh-ky-764b25fb_page-2_eb12c8ff.html","_stale_artifacts/20260721T110923Z/daa/chuongtrinh_daotao/he-chinhquy/khoa_2013/kythuatmaytinh/html/daa-uit-edu-vn_content_ky-su-nganh-ky-764b25fb_page-2_eb12c8ff.html",".html"
"duplicate_source_html","daa/chuongtrinh_daotao/he-chinhquy/khoa_2013/kythuatmaytinh/html/daa.uit.edu.vn_content_ky-su-nganh-ky-thuat-may-tinh-ap-dung-tu-khoa-7-2012.html","_stale_artifacts/20260721T110923Z/daa/chuongtrinh_daotao/he-chinhquy/khoa_2013/kythuatmaytinh/html/daa.uit.edu.vn_content_ky-su-nganh-ky-thuat-may-tinh-ap-dung-tu-khoa-7-2012.html",".html"
"duplicate_source_html","daa/chuongtrinh_daotao/he-chinhquy/khoa_2013/kythuatmaytinh/html/daa.uit.edu.vn_content_ky-su-nganh-ky-thuat-may-tinh-ap-dung-tu-khoa-7-2012page=1.html","_stale_artifacts/20260721T110923Z/daa/chuongtrinh_daotao/he-chinhquy/khoa_2013/kythuatmaytinh/html/daa.uit.edu.vn_content_ky-su-nganh-ky-thuat-may-tinh-ap-dung-tu-khoa-7-2012page=1.html",".html"
"duplicate_source_html","daa/chuongtrinh_daotao/he-chinhquy/khoa_2013/kythuatphanmem/html/daa-uit-edu-vn_content_ky-su-nganh-ky-f639dd4e_page-1_e8bf8622.html","_stale_artifacts/20260721T110923Z/daa/chuongtrinh_daotao/he-chinhquy/khoa_2013/kythuatphanmem/html/daa-uit-edu-vn_content_ky-su-nganh-ky-f639dd4e_page-1_e8bf8622.html",".html"
"duplicate_source_html","daa/chuongtrinh_daotao/he-chinhquy/khoa_2013/kythuatphanmem/html/daa-uit-edu-vn_content_ky-su-nganh-ky-f639dd4e_page-2_bc66d872.html","_stale_artifacts/20260721T110923Z/daa/chuongtrinh_daotao/he-chinhquy/khoa_2013/kythuatphanmem/html/daa-uit-edu-vn_content_ky-su-nganh-ky-f639dd4e_page-2_bc66d872.html",".html"
"duplicate_source_html","daa/chuongtrinh_daotao/he-chinhquy/khoa_2013/kythuatphanmem/html/daa.uit.edu.vn_content_ky-su-nganh-ky-thuat-phan-mem-ap-dung-tu-khoa-7-2012.html","_stale_artifacts/20260721T110923Z/daa/chuongtrinh_daotao/he-chinhquy/khoa_2013/kythuatphanmem/html/daa.uit.edu.vn_content_ky-su-nganh-ky-thuat-phan-mem-ap-dung-tu-khoa-7-2012.html",".html"
"duplicate_source_html","daa/chuongtrinh_daotao/he-chinhquy/khoa_2013/kythuatphanmem/html/daa.uit.edu.vn_content_ky-su-nganh-ky-thuat-phan-mem-ap-dung-tu-khoa-7-2012page=1.html","_stale_artifacts/20260721T110923Z/daa/chuongtrinh_daotao/he-chinhquy/khoa_2013/kythuatphanmem/html/daa.uit.edu.vn_content_ky-su-nganh-ky-thuat-phan-mem-ap-dung-tu-khoa-7-2012page=1.html",".html"
"duplicate_source_html","daa/chuongtrinh_daotao/he-chinhquy/khoa_2013/kythuatphanmem/html/daa.uit.edu.vn_content_ky-su-nganh-ky-thuat-phan-mem-ap-dung-tu-khoa-7-2012page=2.html","_stale_artifacts/20260721T110923Z/daa/chuongtrinh_daotao/he-chinhquy/khoa_2013/kythuatphanmem/html/daa.uit.edu.vn_content_ky-su-nganh-ky-thuat-phan-mem-ap-dung-tu-khoa-7-2012page=2.html",".html"
