page_url,attachment_url,status,terminal_state,local_path,error
https://ctsv.uit.edu.vn/bai-viet/ke-hoach-so-052022-cong-tac-ket-noi-cuu-sinh-vien-xay-dung-mang-luoi-cuu-sinh-vien-truong,https://ctsv.uit.edu.vn/sites/default/files/202209/05_kh_dhcntt14_02_2022_scan.pdf,manifested,True,,
https://ctsv.uit.edu.vn/bai-viet/ke-hoach-so-052023-chuong-trinh-van-nghe-dinh-ky-uit-music-show-2023,https://ctsv.uit.edu.vn/sites/default/files/202304/05_kh_dhcntt20_02_2023_scan.pdf,manifested,True,,
https://ctsv.uit.edu.vn/bai-viet/ke-hoach-so-062017-trien-khai-dao-tao-ky-nang-mem-cho-sinh-vien-dot-1-nam-hoc-2016-2017,https://ctsv.uit.edu.vn/sites/default/files/201711/06-kh-dhcntt_19-4-2017.scan_.pdf,manifested,True,,
https://ctsv.uit.edu.vn/bai-viet/ke-hoach-so-062018-tuan-sinh-hoat-cong-dan-sinh-vien-cuoi-khoa-nam-2018,https://ctsv.uit.edu.vn/sites/default/files/201905/06_kh_dhcntt02_4_2018_scan.pdf,manifested,True,,
https://ctsv.uit.edu.vn/bai-viet/ke-hoach-so-062019-chuc-cac-hoat-dong-cho-lop-truong-nam-2019,https://ctsv.uit.edu.vn/sites/default/files/201905/06_kh_dhcntt_14_03_2019_scan.pdf,manifested,True,,
https://ctsv.uit.edu.vn/bai-viet/ke-hoach-so-062021-chuc-cac-hoat-dong-cho-lop-truong-nam-2021,https://ctsv.uit.edu.vn/sites/default/files/202107/06_kh_dhcntt15_3_2021_scan.pdf,manifested,True,,
https://ctsv.uit.edu.vn/bai-viet/ke-hoach-so-062022-chuong-trinh-chao-don-sinh-vien-welcome-back-uit,https://ctsv.uit.edu.vn/sites/default/files/202209/06_kh_dhcntt14_02_2022_scan.pdf,manifested,True,,
https://ctsv.uit.edu.vn/bai-viet/ke-hoach-so-062023-dao-tao-ky-nang-mem-cho-sinh-vien-nam-2023,https://ctsv.uit.edu.vn/sites/default/files/202304/06_kh_dhcntt20_02_2023_scan.pdf,manifested,True,,
https://ctsv.uit.edu.vn/bai-viet/ke-hoach-so-072016-tuan-sinh-hoat-cong-dan-sinh-vien-cuoi-khoa-2012-dot-1,https://ctsv.uit.edu.vn/sites/default/files/201603/07_kh_dhcntt_ctsv07_3_2016_scan.pdf,manifested,True,,
https://ctsv.uit.edu.vn/bai-viet/ke-hoach-so-072017-chuc-chuong-trinh-tu-van-tam-ly-sinh-vien-nam-hoc-2016-2017,https://ctsv.uit.edu.vn/sites/default/files/201711/07-kh-dhcntt_19-4-2017.scan_.pdf,manifested,True,,
